#{"t_start": 1784614262.4144373, "env_id": "None"}
r,l,t
672.239204,300,8515.933879
623.793631,300,8516.45966
600.898561,300,8519.609362
832.971784,300,8520.094257
672.167092,300,8520.592321
623.504353,300,8521.193817
600.785913,300,8521.729998
833.09612,300,8522.505404
672.19659,300,8523.113292
623.828565,300,8523.781
600.827,300,8524.205177
833.161298,300,8524.746116
672.23953,300,8525.471948
623.910733,300,8526.137308
600.891162,300,8526.704873
832.943742,300,8527.07566
672.223155,300,8527.351427
623.913839,300,8527.881878
600.774993,300,8528.410676
833.12805,300,8528.850043
672.173244,300,8529.299517
623.699398,300,8534.333979
600.676148,300,8534.845552
833.122509,300,8535.432321
672.239046,300,8535.716018
623.915254,300,8536.148175
600.881558,300,8536.531296
833.080133,300,8537.166082
672.215569,300,8537.886299
623.912886,300,8538.502375
600.868395,300,8538.983808
833.122509,300,8539.295657
672.228284,300,8539.746751
623.905568,300,8540.270422
600.834546,300,8540.64708
833.141811,300,8541.591159
672.231042,300,8542.374092
623.478621,300,8542.828811
600.759251,300,8543.497554
833.161672,300,8543.811743
672.196385,300,8544.244735
623.910733,300,8545.018475
600.820293,300,8545.752519
833.161588,300,8546.350679
672.237603,300,8546.702638
623.503787,300,8547.132676
600.870668,300,8547.453518
833.103485,300,8547.916618
672.19045,300,8555.83271
623.793631,300,8556.637414
600.810878,300,8557.430537
833.16089,300,8558.262876
672.211495,300,8558.733919
623.914971,300,8559.048826
600.865255,300,8559.692606
833.12805,300,8560.204925
672.215763,300,8560.727851
623.528535,300,8561.156366
600.820675,300,8561.575312
832.984786,300,8561.949987
672.201435,300,8562.348916
623.912603,300,8562.969939
600.722619,300,8563.956267
833.156873,300,8564.59589
672.238295,300,8565.161662
623.889942,300,8565.778188
600.788333,300,8566.137327
833.080133,300,8566.996726
672.22087,300,8567.608314
623.639453,300,8568.166487
600.89958,300,8568.858027
833.13301,300,8569.154741
672.21511,300,8569.44556
623.897002,300,8569.735194
600.875147,300,8570.027914
833.137687,300,8570.317074
672.237188,300,8575.38293
623.849906,300,8575.943779
600.865637,300,8576.246835
833.161298,300,8576.955898
672.238062,300,8577.801168
623.915254,300,8578.256043
600.868013,300,8578.81259
833.150834,300,8579.287041
672.236312,300,8579.620721
623.503221,300,8580.063731
600.898434,300,8580.703518
833.12805,300,8581.220675
672.239406,300,8581.777209
623.908753,300,8585.318623
600.899198,300,8585.616133
833.161672,300,8585.90675
672.239891,300,8586.427906
623.679123,300,8587.035395
600.879654,300,8587.608942
833.161672,300,8588.03165
672.23306,300,8588.586326
623.789068,300,8589.291517
600.853094,300,8590.03343
832.943742,300,8590.704662
672.203075,300,8591.462203
623.477773,300,8592.225716
600.893336,300,8592.580426
833.141811,300,8597.369251
672.238562,300,8597.808676
623.905851,300,8598.252745
600.857254,300,8598.728882
833.159379,300,8599.083639
672.236772,300,8599.476499
623.733334,300,8600.075231
600.774993,300,8600.489163
833.150834,300,8601.153035
672.207788,300,8601.70193
623.913203,300,8602.519539
600.899962,300,8603.136221
833.062246,300,8604.027594
672.238576,300,8604.627107
623.909885,300,8605.349911
600.899962,300,8605.992193
833.080133,300,8606.551374
672.21721,300,8607.11206
623.74841,300,8607.780842
600.860869,300,8608.37095
833.14823,300,8608.783694
672.239134,300,8609.074318
623.554003,300,8609.368337
600.869522,300,8609.734497
833.158216,300,8610.275724
672.24022,300,8610.574776
623.699398,300,8610.860714
600.850852,300,8618.157425
833.161672,300,8618.449386
672.225586,300,8618.913305
623.915254,300,8619.41888
600.835691,300,8620.030996
833.020756,300,8620.461633
672.221152,300,8621.127934
623.830015,300,8621.651776
600.878126,300,8621.943552
833.159379,300,8622.507602
672.238992,300,8622.814165
623.840342,300,8623.105072
600.759633,300,8623.53074
833.13301,300,8623.831785
672.20673,300,8624.740065
623.915254,300,8625.576012
600.872914,300,8625.966631
833.062246,300,8626.725165
672.238861,300,8627.297541
623.905357,300,8627.830624
600.863562,300,8628.376462
832.984786,300,8629.026464
672.23935,300,8629.466603
623.839424,300,8629.786731
600.886973,300,8630.07017
833.09612,300,8630.360887
672.202601,300,8631.15131
623.914087,300,8631.462031
600.865637,300,8637.144452
833.161672,300,8637.41958
672.237409,300,8637.698084
623.873442,300,8638.271169
600.898816,300,8638.999926
833.088442,300,8639.356748
672.216313,300,8639.654869
623.909885,300,8639.930397
600.84708,300,8640.383455
833.150834,300,8640.918966
672.228709,300,8641.250995
623.880731,300,8641.913766
600.834928,300,8642.343868
833.062246,300,8643.377253
672.236816,300,8644.142673
623.884206,300,8644.75436
600.775375,300,8645.363949
833.153207,300,8645.905219
672.217124,300,8646.314562
623.872489,300,8646.603403
600.860869,300,8646.890978
833.062246,300,8647.301887
672.239679,300,8650.341681
623.764739,300,8650.716812
600.881176,300,8651.057994
833.16089,300,8651.41749
672.211617,300,8651.78992
623.527368,300,8656.747569
600.859342,300,8657.105359
833.14823,300,8657.583541
672.24035,300,8658.223049
623.598097,300,8658.617466
600.885813,300,8659.025602
833.088442,300,8659.438444
672.238468,300,8659.819648
623.861883,300,8660.198918
600.820293,300,8660.631728
833.145146,300,8661.043162
672.239753,300,8661.707758
623.793631,300,8662.297805
600.866019,300,8663.216053
832.957905,300,8663.616341
672.238505,300,8664.167918
623.52567,300,8665.023786
600.858018,300,8665.872039
833.009281,300,8666.411181
672.229257,300,8667.193812
623.816009,300,8668.001069
600.810241,300,8668.815722
833.071507,300,8669.503086
672.238421,300,8670.126304
623.889058,300,8670.630012
600.835691,300,8670.949292
833.161588,300,8671.229458
672.219452,300,8676.384105
623.874361,300,8677.303774
600.8969,300,8678.151297
833.161588,300,8678.491306
672.216636,300,8678.956033
623.499472,300,8679.284744
600.86318,300,8679.748331
833.161672,300,8677.620657
672.235151,300,8683.25639
623.90267,300,8683.572428
600.83531,300,8683.857564
833.145146,300,8684.280018
672.185916,300,8684.642315
623.804974,300,8685.022064
600.895506,300,8685.825969
833.080133,300,8686.455406
672.237296,300,8687.173341
623.596364,300,8688.018361
600.892572,300,8688.513537
833.020756,300,8689.131166
672.238645,300,8689.726631
623.475156,300,8690.010616
600.883873,300,8690.303112
832.929027,300,8690.729433
672.22647,300,8691.078008
623.633793,300,8691.50712
600.860487,300,8691.792844
833.122509,300,8697.629322
672.231457,300,8698.419871
623.896083,300,8698.831797
600.874765,300,8699.476569
833.12805,300,8700.075891
672.235152,300,8700.360719
623.619106,300,8700.651476
600.864491,300,8701.09611
833.12805,300,8701.39104
672.197314,300,8701.669133
623.908232,300,8701.944676
600.864873,300,8702.22516
833.14823,300,8702.526991
672.239401,300,8702.849946
623.804258,300,8703.51077
600.742571,300,8703.945238
833.16089,300,8704.394744
672.172793,300,8704.979552
623.620556,300,8705.55992
600.856235,300,8706.229917
833.080133,300,8706.849543
672.207584,300,8707.244921
623.872345,300,8707.553757
600.846316,300,8707.852187
833.12805,300,8708.297259
672.237139,300,8708.664998
623.915254,300,8709.245181
600.89958,300,8709.799346
833.158216,300,8717.501465
672.23407,300,8717.824405
623.907792,300,8718.614851
600.899198,300,8719.143396
