timestamp,alpha,beta,delta,power_wam,power_mean,power_normalized,delay_wam,delay_mean,delay_normalized,pdr_wam,pdr_mean,pdr_normalized,current_sf_len,last_ts_in_schedule,reward,episode_index,episode_initial_sf_len,episode_profile,action,applied_action,requested_sf_len,applied_sf_len,action_overridden,action_override_reason,returned_reward,terminated,truncated,wait_timeout,valid_cycle,wait_attempts,cycle_idx,seed,reset_count,step_exception_count,profile
1784735660636.113,0.4,0.3,0.3,621.5620094191522,645.4444444444445,0.12431240188383044,286.6460905349794,371.7283950617284,0.018455376286522975,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244738426360511,1,10,balanced,0,0,32,32,False,,2.244738426360511,False,False,False,True,0,59,49,1,0,balanced
1784735663760.3928,0.4,0.3,0.3,631.0518053375196,657.6666666666666,0.1262103610675039,412.1390784394817,533.9341225530742,0.02682715666707683,0.8438632028493779,0.872520908004779,0.8438632028493779,29,8,2.194626669427689,1,10,balanced,1,1,29,29,False,,2.194626669427689,False,False,False,True,0,60,49,1,0,balanced
1784735666679.993,0.4,0.3,0.3,632.0518053375196,658.6666666666666,0.12641036106750392,250.23515579071136,325.82745443856555,0.016026361293576475,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2446279471849255,1,10,balanced,2,2,29,29,False,,2.2446279471849255,False,False,False,True,0,61,49,1,0,balanced
1784735669608.8318,0.4,0.3,0.3,623.9843014128727,647.6666666666666,0.12479686028257454,300.79638752052546,373.29638752052546,0.019399358740528717,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2442614482648113,1,10,balanced,0,0,32,32,False,,2.2442614482648113,False,False,False,True,0,62,49,1,0,balanced
1784735672534.7021,0.4,0.3,0.3,631.2951334379906,657.4444444444445,0.1262590266875981,275.8429118773946,352.1291735084839,0.01773468391443593,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2441759841506297,1,10,balanced,1,1,29,29,False,,2.2441759841506297,False,False,False,True,0,63,49,1,0,balanced
1784735675364.978,0.4,0.3,0.3,621.3265306122448,645.3333333333334,0.12426530612244896,281.3121240899019,353.724279835391,0.01809954130019359,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2448640151609625,1,10,balanced,0,0,32,32,False,,2.2448640151609625,False,False,False,True,0,64,49,1,0,balanced
1784735678192.5881,0.4,0.3,0.3,630.7315541601255,657.0,0.1261463108320251,248.57470718581828,311.66666666666674,0.015915590872969867,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244766798405299,1,10,balanced,1,1,29,29,False,,2.244766798405299,False,False,False,True,0,65,49,1,0,balanced
1784735681022.67,0.4,0.3,0.3,624.3343799058085,647.8888888888889,0.12486687598116171,313.5248496359608,377.77302943969613,0.0202484889683763,0.9999999999999998,1.0,0.9999999999999998,32,8,2.243978702917022,1,10,balanced,0,0,32,32,False,,2.243978702917022,False,False,False,True,0,66,49,1,0,balanced
1784735683852.693,0.4,0.3,0.3,631.1240188383046,657.2222222222222,0.1262248037676609,231.2962962962963,292.4279835390946,0.014762928372001088,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2450811999813354,1,10,balanced,1,1,29,29,False,,2.2450811999813354,False,False,False,True,0,67,49,1,0,balanced
1784735689608.274,0.4,0.3,0.3,623.888540031397,647.4444444444445,0.12477770800627941,275.6981187536743,357.6528512639624,0.01772502459997827,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2447714094174946,1,10,balanced,0,0,32,32,False,,2.2447714094174946,False,False,False,True,0,68,49,1,0,balanced
1784735692433.4258,0.4,0.3,0.3,629.043956043956,655.6666666666666,0.12580879120879118,429.9952516619183,594.6232985121874,0.028018362352362797,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2412709748107744,1,10,balanced,1,1,29,29,False,,2.2412709748107744,False,False,False,True,0,69,49,1,0,balanced
1784735695262.395,0.4,0.3,0.3,622.171114599686,645.7777777777778,0.1244342229199372,300.9097589653145,380.55996472663145,0.01940692187894026,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244404234268343,1,10,balanced,0,0,32,32,False,,2.244404234268343,False,False,False,True,0,70,49,1,0,balanced
1784735698091.263,0.4,0.3,0.3,629.2040816326529,655.2222222222222,0.12584081632653057,262.3955365622032,345.95441595441594,0.01683759416692483,0.9958718530147099,0.9958847736625513,0.9958718530147099,29,8,2.2433739511237234,1,10,balanced,1,1,29,29,False,,2.2433739511237234,False,False,False,True,0,71,49,1,0,balanced
1784735700921.942,0.4,0.3,0.3,621.7864992150705,645.8888888888889,0.12435729984301411,278.58833039388594,354.26954732510285,0.017917833915536086,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2448817298881334,1,10,balanced,0,0,32,32,False,,2.2448817298881334,False,False,False,True,0,72,49,1,0,balanced
1784735703751.516,0.4,0.3,0.3,629.4238618524333,655.3333333333334,0.12588477237048668,286.0018993352326,375.4938271604938,0.018412401556719988,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2441223705847895,1,10,balanced,1,1,29,29,False,,2.2441223705847895,False,False,False,True,0,73,49,1,0,balanced
1784735706575.221,0.4,0.3,0.3,622.1098901098901,646.4444444444445,0.12442197802197802,282.7594062316285,352.0825984714874,0.01819609114287048,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244772381448348,1,10,balanced,0,0,32,32,False,,2.244772381448348,False,False,False,True,0,74,49,1,0,balanced
1784735709398.064,0.4,0.3,0.3,631.1805337519623,657.5555555555555,0.12623610675039246,255.27557319223985,329.23721340388005,0.01636261328834155,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2445967733133405,1,10,balanced,1,1,29,29,False,,2.2445967733133405,False,False,False,True,0,75,49,1,0,balanced
1784735712228.6538,0.4,0.3,0.3,621.3971742543171,646.1111111111111,0.12427943485086342,310.9303350970018,397.4941211052322,0.020075405943762628,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2442656042765257,1,10,balanced,0,0,32,32,False,,2.2442656042765257,False,False,False,True,0,76,49,1,0,balanced
1784735715056.931,0.4,0.3,0.3,631.4693877551019,656.8888888888889,0.1262938775510204,284.0321304210193,357.28236783792335,0.01828099602541823,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2439981501719664,1,10,balanced,1,1,29,29,False,,2.2439981501719664,False,False,False,True,0,77,49,1,0,balanced
1784735717883.817,0.4,0.3,0.3,622.5353218210361,646.4444444444445,0.1245070643642072,321.7210464432687,404.4944150499706,0.020795266607289437,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2439585942721303,1,10,balanced,0,0,32,32,False,,2.2439585942721303,False,False,False,True,0,78,49,1,0,balanced
1784735723741.7441,0.4,0.3,0.3,629.6546310832025,655.8888888888889,0.1259309262166405,234.70238095238093,302.6984126984127,0.014990152164935353,0.9999999999999998,1.0,0.9999999999999998,29,8,2.245130583863863,1,10,balanced,1,1,29,29,False,,2.245130583863863,False,False,False,True,0,79,49,1,0,balanced
1784735726570.7349,0.4,0.3,0.3,621.1083202511774,645.1111111111111,0.12422166405023548,291.1272780717225,373.48618459729573,0.018754321419060874,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2446850379541874,1,10,balanced,0,0,32,32,False,,2.2446850379541874,False,False,False,True,0,80,49,1,0,balanced
1784735729391.834,0.4,0.3,0.3,630.010989010989,656.2222222222222,0.1260021978021978,250.24691358024688,319.1358024691358,0.01602714566912921,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244790977178382,1,10,balanced,1,1,29,29,False,,2.244790977178382,False,False,False,True,0,81,49,1,0,balanced
1784735732210.43,0.4,0.3,0.3,621.9152276295133,645.7777777777778,0.12438304552590267,288.7602880658436,378.90652557319225,0.018596416815599974,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2446678567449587,1,10,balanced,0,0,32,32,False,,2.2446678567449587,False,False,False,True,0,82,49,1,0,balanced
1784735735039.845,0.4,0.3,0.3,633.5353218210361,659.5555555555555,0.1267070643642072,263.6625514403292,333.62139917695475,0.01692211817480515,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2442405388018756,1,10,balanced,1,1,29,29,False,,2.2442405388018756,False,False,False,True,0,83,49,1,0,balanced
