cycle_idx,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n
769,68.0,0.0,0.0,8,0.11416948804806448,0.0014448871301101843,0.0012079434813669202,8,0.048690261339572036,0.005949399121227703,0.004973771124938359,8,0.9866766168649949,0.010477304081291803,0.00875915557939141,8
770,68.0,0.0,0.0,8,0.11416904848762492,0.0014538478064314271,0.001215434717412506,8,0.0485292618606977,0.0060373612723393375,0.005047308569371273,8,0.9866423233121828,0.010427797096955906,0.008717767129204218,8
771,68.0,0.0,0.0,8,0.114611013427447,0.0011348126202991992,0.0009487173625519094,8,0.048667311619717435,0.00606315237836738,0.005068870252463738,8,0.9894201010899606,0.00903939288112754,0.007557044061593854,8
772,68.0,0.0,0.0,8,0.11475378946093731,0.0010720412637358107,0.000896239733402066,8,0.0485824922060228,0.006259285966482169,0.00523284035386695,8,0.9904087436734308,0.00871062753877867,0.007282192175994045,8
773,68.0,0.0,0.0,8,0.11474787371002157,0.0010728326703596369,0.0008969013591113964,8,0.04860368503348302,0.006455792020416726,0.005397121841294472,8,0.9904087436734308,0.00871062753877867,0.007282192175994045,8
774,68.0,0.0,0.0,8,0.11475606052320839,0.0010689993788935332,0.0008936966801145628,8,0.046515194576097,0.0028847756037948644,0.0024117080242417243,8,0.9904725161669606,0.008596007606266972,0.007186368497156472,8
775,68.0,0.0,0.0,8,0.11488780219780215,0.0010198130929774713,0.0008525763377661428,8,0.04617067224993824,0.0025192317610512123,0.002106108858193137,8,0.9914315108759553,0.008277630234145312,0.006920201082931001,8
776,68.0,0.0,0.0,8,0.11489472527472523,0.0010234931627803477,0.0008556529215606299,8,0.046426629227567164,0.0025384698522728927,0.002122192139994809,8,0.9913322200598701,0.008236273716947422,0.006885626523908234,8
777,68.0,0.0,0.0,8,0.11471186289900571,0.0012568791326856006,0.0010507664741106122,8,0.046210761671201084,0.002650784773279042,0.0022160888007528522,8,0.9904405876867562,0.009370287858320475,0.00783367634821875,8
778,68.0,0.0,0.0,8,0.11471723443223439,0.001262127466840892,0.0010551541462677004,8,0.04620058811634267,0.0026305089856760128,0.002199137991963524,8,0.9904405876867562,0.009370287858320475,0.00783367634821875,8
779,68.0,0.0,0.0,8,0.11486711407639975,0.0013316246160498216,0.001113254621115247,8,0.04653338743586803,0.0030411184257715215,0.002542412553841078,8,0.9913665136126821,0.009932553453550269,0.0083037373283473,8
780,68.0,0.0,0.0,8,0.11486590528519094,0.0013274040035641556,0.001109726136963653,8,0.046555936817787046,0.0031052772713516504,0.002596050140940794,8,0.991365288842939,0.00984644693644311,0.008231751216854377,8
781,68.0,0.0,0.0,8,0.11485856357927782,0.0013350006234764734,0.0011160770050088315,8,0.046831124839845695,0.0029955259100095757,0.0025042966477152057,8,0.9913309952901268,0.009813592431816821,0.008204284445319192,8
782,68.0,0.0,0.0,8,0.11485141025641021,0.0013358510438400075,0.0011167879669332238,8,0.04689792079533064,0.0031424123336094047,0.0026270955115096275,8,0.9912967017373148,0.009781589458143614,0.008177529564174973,8
783,68.0,0.0,0.0,8,0.11555859236002089,0.0007999879942324393,0.0006687998409475633,8,0.04651066461730802,0.0020176730600666684,0.0016867995912257312,8,0.9968179637400583,0.005287130937426312,0.004420106745992305,8
784,68.0,0.0,0.0,8,0.1154953793825222,0.0007743923346560616,0.0006474015535019449,8,0.046749502570995125,0.0018757344832905254,0.0015681371884689389,8,0.9958577442613202,0.005430364860459223,0.00453985207421391,8
785,68.0,0.0,0.0,8,0.11548252223966506,0.0007694106507726587,0.0006432368042645923,8,0.04838196560260985,0.004371873679355706,0.0036549403772006897,8,0.9957938873009116,0.005377033508692925,0.00449526640563392,8
